feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,output
1.344,-2.179,1.116,-1.409,-1.749,3.678,-2.021,1.034,-0.179,5.278,-1.306,0.608,2.059,2.059,3.891,1.318,-1.37,2.301,1.007,-4.341,0
-4.112,0.819,-4.066,2.201,-0.865,2.534,-8.068,1.631,-0.381,-3.054,-0.685,1.213,-1.84,1.296,-0.412,1.041,0.881,1.53,-2.332,-1.866,1
-0.32,1.528,0.145,-0.209,-2.297,5.242,-1.548,3.749,-2.469,2.283,-3.095,0.822,1.251,-2.224,1.962,-1.367,-0.647,-1.554,-2.27,-7.723,0
3.817,0.854,-0.651,2.24,0.187,0.35,-6.196,0.274,-0.515,5.464,1.219,2.188,2.719,-7.427,2.016,0.729,-0.425,-0.29,1.269,-7.665,0
-0.911,-2.295,0.191,-0.564,0.721,2.614,5.364,-1.662,-1.33,-3.201,-1.635,-0.185,1.996,3.481,-1.835,0.551,3.881,0.592,-3.262,13.75,0
-1.904,-3.735,-1.022,-2.505,-1.812,5.874,3.78,-2.452,-4.164,-4.143,0.52,0.212,-0.642,7.527,1.901,0.069,-0.82,0.982,-0.88,2.606,1
0.811,-2.922,-0.055,0.514,-3.397,5.622,-12.949,3.402,-1.91,4.606,-2.303,-2.668,-2.901,13.679,1.913,3.706,-1.969,4.912,4.711,-8.679,1
0.441,0.432,-3.478,3.529,-4.197,2.75,-17.489,3.303,-2.311,-0.644,0.218,-0.83,-2.594,5.835,2.639,0.575,5.623,4.803,-2.127,0.629,1
4.618,-2.121,0.97,0.174,-2.118,-1.115,5.866,-5.47,-1.915,-0.82,0.527,1.035,-2.369,-1.239,1.131,-2.632,-0.232,3.884,0.75,9.218,0
2.628,-2.665,0.08,-0.121,-3.035,-5.039,1.792,-0.468,0.03,1.775,-2.598,1.965,-4.016,-4.037,-2.669,-3.58,0.333,3.226,-1.629,8.82,0
1.888,0.369,-2.708,1.3,-2.284,-8.257,-12.033,-2.582,-4.509,4.153,5.134,1.689,-1.422,-6.892,-0.792,-0.064,1.811,0.158,-0.649,-6.863,1
-0.539,1.872,0.724,1.18,3.87,4.6,-5.969,1.488,-0.353,1.051,-1.957,0.937,1.526,4.396,0.386,3.272,2.22,0.584,1.961,-2.112,0
-0.535,0.356,-1.16,-0.803,2.84,-4.951,-1.976,-1.208,2.207,0.473,4.178,1.679,-0.318,-4.248,1.792,1.874,1.009,1.31,-3.638,0.664,1
1.541,-3.272,-3.383,1.351,-6.896,5.14,-3.312,-2.313,-2.151,-3.157,-2.239,1.36,-0.987,2.276,1.542,-0.923,5.08,1.847,-0.457,10.847,1
-2.536,0.397,2.553,1.124,-1.856,-2.057,-0.981,0.712,0.968,3.026,-5.289,1.554,0.041,-2.989,-3.624,0.547,3.444,-0.669,-0.881,4.234,0
0.238,0.203,-1.488,1.791,-0.88,1.21,-0.589,-0.18,3.121,0.634,-1.806,0.983,4.835,-3.5,0.334,-0.471,2.894,0.346,1.072,6.429,0
-3.165,-2.521,-0.359,4.181,-0.65,11.381,-4.048,1.642,-0.698,-5.672,-4.908,3.452,-1.932,6.188,-0.377,1.025,2.162,1.323,1.365,4.443,1
0.15,-1.162,0.736,0.695,-0.661,2.659,3.608,-0.322,4.293,-1.173,-2.839,0.257,1.907,0.914,0.901,0.744,2.964,1.158,0.26,10.709,0
2.395,-0.902,0.988,-0.987,4.68,-0.237,5.3,-3.147,-0.432,-0.594,1.14,1.906,0.657,-0.19,0.518,0.258,0.35,2.693,-0.881,7.821,0
-1.115,0.699,-0.327,1.359,-3.352,9.002,2.721,1.127,-4.447,-1.323,0.074,-4.516,2.312,3.098,1.685,0.957,-4.611,-2.569,-1.734,-10.831,1
-0.288,-4.117,0.096,1.981,-12.93,2.566,-1.828,-1.163,4.211,3.578,-3.498,-2.165,1.911,-1.338,2.751,1.953,2.365,-0.764,2.021,2.834,0
-1.732,-2.823,0.927,0.374,-1.662,0.759,5.483,-0.394,2.186,-2.761,-0.552,-1.722,4.551,3.904,0.645,-2.998,2.676,3.593,-1.057,14.635,0
1.136,0.996,3.381,-2.789,7.641,11.142,-1.082,4.798,-1.184,-0.687,-4.59,1.32,-0.165,13.738,3.106,2.504,1.976,1.728,2.249,0.336,0
-2.521,-0.364,0.476,4.317,3.686,-3.806,-8.519,0.74,-0.669,1.548,2.736,2.386,3.184,-5.277,-3.89,1.907,3.294,-1.374,-1.296,-1.166,0
0.179,-2.418,1.768,1.31,2.953,9.033,1.677,0.231,0.704,-3.022,-1.157,0.623,-0.309,6.828,1.822,4.055,0.428,0.787,0.407,3.374,1
3.154,-4.212,-2.795,-3.911,12.097,-1.48,7.337,0.152,1.664,-3.772,3.557,3.785,3.005,-0.296,-2.948,0.969,2.27,-0.766,-3.551,15.835,0
-1.598,3.277,-0.455,2.079,3.673,5.124,1.532,1.641,-3.74,-1.268,1.623,-0.561,4.094,-3.263,-0.4,-0.564,-4.226,-3.486,-1.186,-12.092,1
-0.709,-2.726,1.736,-2.396,-2.862,-9.134,2.619,-4.881,-3.063,2.111,4.719,0.546,-0.038,-3.506,-0.569,-2.614,-0.599,-0.077,0.178,-0.323,1
1.727,-1.677,2.345,-1.613,-2.638,1.892,12.187,-2.856,-0.704,-1.709,-2.371,0.867,-1.914,-1.675,1.494,-3.199,-1.594,1.619,-2.083,7.816,0
5.431,1.669,3.287,-1.126,2.682,-4.768,4.962,-2.681,-0.574,3.739,3.869,0.793,0.888,-8.881,1.799,0.444,0.278,-2.92,-1.393,-2.53,1
-3.063,0.787,-0.93,4.718,-4.879,-6.089,-8.69,-3.459,1.468,2.544,2.665,2.379,-1.988,-11.348,-0.358,3.004,0.947,-1.043,-1.56,-7.19,0
5.674,-0.568,0.441,0.236,3.477,3.802,2.826,2.695,0.758,2.623,-2.563,0.285,1.644,-0.9,0.61,0.152,0.234,2.633,-2.726,6.574,0
2.38,-0.931,-1.769,-0.888,-0.853,-1.139,7.627,-1.568,4.262,-1.164,-2.9,-2.537,-4.806,0.834,-1.183,2.543,-1.251,4.476,-5.238,13.155,0
6.444,-2.06,-4.673,4.403,-5.885,-9.262,1.111,-4.046,6.875,3.951,2.026,-0.797,2.432,-16.587,-1.689,-0.385,1.203,1.652,-2.31,12.567,0
2.541,-6.001,-1.063,0.015,-15.407,-2.334,6.54,-6.563,-7.393,4.276,1.829,-1.028,2.122,-12.67,0.021,-3.044,-1.424,-4.285,-4.63,-1.559,1
0.646,2.301,1.449,-1.353,2.181,-3.403,-0.769,2.464,0.287,1.229,1.799,-2.317,-2.808,1.057,0.592,0.672,-1.301,0.362,-2.787,-4.907,1
2.95,1.068,0.051,-1.928,5.29,-0.84,9.214,-1.282,0.346,1.054,0.314,-1.736,0.854,-1.019,-0.883,0.997,-3.745,2.153,-3.307,3.839,0
2.599,1.966,-0.604,1.063,6.332,-1.768,-0.961,-1.188,-0.076,0.497,2.179,1.886,-1.274,-3.687,-0.212,1.878,-0.658,2.284,-2.401,0.484,0
-1.804,-1.283,-1.904,-3.302,3.431,-0.335,10.147,1.341,0.067,-5.423,-1.911,0.128,-0.496,3.639,-2.872,-5.008,-1.81,2.88,-3.365,12.139,0
3.294,1.204,-0.465,-0.979,7.162,-0.355,0.196,-0.893,-1.921,0.734,1.946,-1.548,1.677,3.787,-2.109,2.689,-0.285,0.158,1.167,1.069,1
0.891,-1.554,-1.816,0.943,-5.895,3.921,-4.632,-0.638,-5.16,-1.76,0.246,-0.149,-1.361,2.465,1.872,-1.938,1.695,0.509,-0.528,-0.755,1
-0.816,2.859,-0.576,2.104,-3.38,-1.735,-10.141,0.937,-0.2,1.326,1.875,-2.212,-0.851,1.558,3.388,0.315,2.27,3.254,-1.129,-4.394,1
2.946,-0.861,0.379,-0.257,6.411,4.138,0.018,1.101,-0.028,0.491,-1.594,-1.407,0.252,8.388,-0.876,4.024,0.788,4.32,-1.207,7.934,0
0.992,-0.34,-4.134,2.987,-6.05,-2.482,-20.835,0.827,-4.946,4.411,4.122,0.087,-2.965,-2.561,1.986,3.819,4.278,1.085,-4.607,-9.738,1
1.68,-5.132,-0.104,-3.81,-3.346,0.375,10.261,-1.511,-0.248,-1.155,-0.121,-0.469,-0.834,0.647,1.177,-1.566,-0.793,0.856,-4.182,9.7,0
2.479,0.793,-0.29,0.483,1.909,-6.545,-1.153,-0.729,0.66,2.5,4.15,0.37,-0.671,-7.466,-0.872,0.28,-1.623,-1.49,-0.773,-4.88,1
2.649,0.604,-0.947,0.108,3.088,1.11,0.161,0.551,-0.902,0.897,3.109,-2.589,0.762,1.312,0.985,1.713,-3.695,0.816,-0.841,-5.341,1
-2.741,0.649,-0.802,0.259,6.847,-4.021,-2.249,0.033,-0.685,-1.083,1.465,2.781,1.379,-0.333,-3.593,-1.232,0.214,1.891,0.22,2.33,1
3.94,-2.685,1.781,-2.25,4.268,-0.402,8.03,0.359,-0.127,1.453,-0.096,-0.879,-0.323,2.465,0.659,-0.275,-1.077,6.477,-6.494,12.21,0
-0.406,0.696,2.04,0.53,0.801,2.13,3.649,-0.232,-1.026,0.586,0.377,0.095,2.183,-2.719,1.502,0.301,-0.449,-0.432,-3.06,-1.365,1
1.589,-2.649,3.754,3.198,-3.574,1.475,2.411,-1.924,2.538,1.252,-1.516,0.506,3.74,-1.516,2.18,-1.364,3.846,2.895,1.318,11.232,0
-2.11,-3.865,0.992,-1.358,-7.642,0.732,3.142,-2.619,-0.011,1.066,-4.589,1.152,-0.409,-1.368,-1.472,2.038,4.706,-2.973,-1.834,8.392,0
4.205,1.84,3.775,-0.688,9.136,-1.713,12.443,-3.733,3.803,-0.348,2.517,-0.231,2.18,-1.505,2.115,0.672,-2.074,4.04,-0.474,9.084,0
2.569,1.558,0.477,1.719,5.848,-0.825,2.825,-2.452,2.117,-2.55,2.449,1.871,-0.675,-3.967,0.122,1.728,1.065,-0.072,-0.584,4.791,0
-1.409,-0.735,1.443,-0.871,0.532,3.548,1.289,-1.063,2.256,-1.434,-3.033,0.707,-3.351,6.839,2.323,2.879,1.13,4.706,-0.817,6.843,0
1.131,-3.934,2.642,2.419,9.261,-5.495,-6.109,0.82,3.639,0.395,3.844,3.591,0.922,0.525,-3.019,3.554,6.064,2.181,-0.454,12.114,0
-0.198,-0.36,-0.336,1.904,2.641,-1.486,-10.689,1.737,2.779,2.381,0.655,0.422,-3.478,4.619,-0.342,3.747,-1.518,3.447,4.036,-5.925,1
2.222,-2.03,-1.795,5.315,-5.026,0.826,-10.825,1.192,0.645,3.871,0.496,-1.132,-1.109,-2.255,0.041,2.392,-1.3,1.812,1.309,-6.197,1
0.355,1.798,-4.944,-1.944,9.183,-3.191,-3.689,-3.449,-0.348,-0.647,4.69,4.7,-0.125,-3.921,-0.709,3.813,-0.952,-0.503,0.325,-3.774,1
3.831,2.736,2.315,3.143,9.818,0.858,4.123,2.392,-0.806,-0.72,3.037,-0.053,3.758,-4.292,-1.017,-1.978,-2.028,0.667,-2.264,0.151,1
2.782,-0.579,0.981,3.392,-5.263,4.847,-7.4,1.391,-3.648,5.125,-0.047,-2.514,-0.536,0.579,1.796,1.963,-3.807,-0.475,2.464,-15.121,1
-0.807,2.09,-0.021,3.483,-3.938,-2.153,2.477,-5.321,-1.289,-0.642,3.646,1.525,-1.148,-12.677,2.267,-0.244,-2.258,-1.146,-3.818,-6.452,0
3.094,2.722,0.775,1.578,3.898,2.34,-2.604,0.42,-1.425,0.564,2.192,4.423,2.531,-7.038,3.502,-1.995,1.177,-1.729,1.277,-5.921,0
1.393,5.094,-2.464,2.311,-2.846,-13.473,-15.92,-0.552,-1.376,5.927,6.314,-1.481,-1.9,-8.524,0.837,-0.81,1.983,2.53,-2.259,-10.008,1
0.619,5.003,3.723,-0.814,12.713,5.932,8.266,4.949,-1.132,-5.362,-0.043,-2.867,3.115,7.592,-0.503,-0.419,1.069,-0.385,-4.151,5.167,1
1.699,0.946,-0.109,1.894,3.844,-4.509,-6.074,0.026,-1.234,0.826,2.967,0.718,1.62,0.196,-0.959,-2.719,1.394,3.65,2.244,2.036,1
-0.522,0.51,2.687,-0.888,0.946,4.445,2.878,-0.314,-4.217,0.623,-1.273,-0.126,0.622,2.859,1.095,0.645,-0.51,0.267,-2.029,-2.371,1
-4.619,0.55,0.457,4.791,4.172,-6.33,-10.151,-3.182,2.761,-2.279,5.293,5.766,2.253,-6.649,-1.111,1.69,6.533,-1.205,2.406,2.116,0
1.637,-1.026,-2.37,-5.386,8.577,1.842,9.771,2.367,-0.777,-2.994,-1.76,4.328,-0.864,0.134,-0.851,-3.583,-2.291,2.472,-4.916,8.834,0
2.909,2.671,2.76,2.006,-2.302,-2.913,4.641,-1.174,1.656,3.254,3.465,1.263,3.84,-17.005,3.846,-1.194,0.919,-5.348,-3.941,-5.712,1
3.628,-0.682,1.324,2.342,0.106,0.378,0.326,-0.31,0.754,3.303,1.218,3.569,2.224,-10.091,2.88,-1.151,0.018,0.412,-1.622,-1.045,0
-3.762,-0.51,0.592,0.867,-9.357,3.981,-3.689,-0.753,-0.714,-0.601,-0.02,-2.036,-2.083,2.427,5.383,1.961,0.975,0.382,-2.837,-5.673,1
1.892,-3.307,-1.547,-6.775,7.42,0.045,12.483,5.876,2.863,-1.184,-1.401,1.037,1.336,0.518,-1.056,-2.455,-1.475,1.007,-8.281,12.452,0
0.674,0.073,-0.706,5.49,2.206,4.875,-4.899,1.937,2.749,-1.524,1.133,-0.382,-0.041,-0.029,0.834,2.845,-1.797,1.402,0.631,-3.388,1
0.475,-0.931,-0.375,1.517,-1.539,2.872,0.791,0.817,-1.314,0.922,2.356,-2.58,2.274,-0.222,1.525,-0.469,-5.179,0.07,0.229,-8.515,1
1.981,-0.629,0.815,-0.928,2.715,4.134,3.474,-1.449,-1.191,2.313,-1.329,2.66,3.573,-1.548,3.171,0.82,1.488,3.753,-3.81,6.524,0
3.69,-5.098,-0.551,0.225,-3.031,3.256,2.529,-4.955,-3.571,-2.126,0.391,2.038,-0.36,1.719,1.328,-0.722,3.277,2.598,-0.465,12.67,0
3.587,2.173,2.341,-3.25,17.294,-4.134,10.319,3.049,4.509,-0.045,2.705,1.04,1.905,-0.646,-1.591,0.178,-3.022,2.706,-3.19,6.966,0
-0.153,-2.465,-0.04,-1.418,-0.449,0.858,0.832,-0.671,-0.908,1.162,-1.98,4.122,0.072,-2.466,0.267,-0.456,1.882,0.672,-1.794,4.594,0
-0.922,4.101,-2.384,0.224,-0.291,-2.484,3.353,-2.273,3.567,-0.537,4.636,-3.056,1.749,-4.889,5.104,0.377,-4.188,2.862,-3.578,-4.74,1
4.689,1.694,3.26,-3.379,4.868,-1.704,14.852,-2.137,-0.502,-1.357,4.139,-3.148,3.03,-2.98,1.584,-0.23,0.149,-3.547,-4.531,5.514,1
-3.941,-3.914,2.444,-0.056,-2.561,-0.078,2.138,-2.352,0.82,0.184,2.126,-0.173,-1.228,0.888,1.238,3.87,-1.727,-0.245,-2.104,-2.607,1
0.463,-2.025,3.004,-0.114,-7.052,0.867,-7.478,2.242,0.144,5.747,-1.657,0.319,0.066,-0.139,3.084,1.55,3.529,-2.463,1.677,-6.328,1
-0.665,-1.899,0.067,0.088,6.297,-1.542,1.846,2.871,1.506,-2.358,-1.175,1.908,1.897,0.76,-4.59,-1.089,3.853,0.749,-3.012,13.658,0
0.579,-0.458,-0.177,-5.744,14.87,-0.493,10.992,4.757,7.471,-3.76,1.538,0.637,6.118,3.056,-2.222,1.732,1.931,-4.618,-0.711,11.614,0
3.941,-1.926,1.928,0.255,6.269,2.581,5.579,-1.931,-0.105,0.063,1.838,0.672,2.03,1.642,1.608,1.496,-0.618,4.252,-1.831,8.16,0
-0.391,-3.018,-0.067,0.229,-6.537,9.887,2.433,1.303,-4.554,-3.551,-3.502,-0.219,0.41,3.582,2.668,-1.419,4.192,0,-6.229,7.959,1
0.148,2.678,-2.046,2.505,1.177,-2.25,-1.347,-1.29,-0.831,-1.902,0.327,5.76,-2.131,-12.286,-1.597,-2.838,0.16,-2.64,-0.722,-3.136,1
-3.465,-1.756,-0.254,3.172,-8.831,9.088,-12.699,1.034,-2.14,-0.628,-1.708,-3.317,-3.204,11.589,4.193,5.462,2.229,2.303,0.111,-6.423,1
2.053,1.126,2.766,1.195,1.45,3.483,-2.069,4.264,3.091,-0.018,1.065,-1.956,-0.227,2.367,3.506,1.921,0.769,-1.771,0.397,-4.64,1
1.087,2.218,3.17,-2.106,10.058,6.206,3.69,6.086,1.265,-4.32,0.189,-1.719,0.549,9.634,2.244,1.498,2.523,0.01,-3.64,4.714,1
-0.564,-1.055,-3.751,-0.772,-11.189,-4.245,-3.941,-4.874,0.571,-0.36,3.025,1.061,-5.541,-7.531,4.723,1.211,1.783,-1.131,-3.64,-2.907,1
0.779,-1.162,0.44,3.497,-0.388,-2.898,-2.888,-1.553,3.023,1.323,0.81,3.282,-0.096,-7.687,0.413,0.798,2.661,2.049,-1.87,5.511,0
3.039,2.409,-0.758,-5.811,13.641,-0.794,10.372,6.45,4.28,1.662,-2.152,2.624,3.228,-2.823,-0.46,-2.491,-2.797,2.339,-5.433,6.601,0
0.594,-3.626,0.278,2.073,-2.526,8.8,-9.098,1.306,-2.567,-1.007,-0.47,-0.472,-1.894,9.858,3.056,4.59,3.523,2.037,-0.465,0.623,1
5.326,4.792,3.521,1.614,5.552,1.924,5.221,-3.095,-1.815,2.742,2.936,-1.393,2.807,-5.109,2.179,2.606,-2.936,-2.181,1.122,-8.414,1
4.028,-0.218,-3.244,-5.208,5.373,-3.163,12.175,-2.393,0.057,-1.369,1.312,0.566,-0.333,-1.775,0.229,-3.18,-3.915,4.413,-4.148,10.097,0
4.491,1.394,3.644,0.433,9.276,0.751,4.759,-2.988,1.497,1.924,1.629,2.063,2.354,-1.458,2.068,3.151,0.64,3.134,-0.085,5.704,0
2.423,2.775,2.8,-1.996,1.317,-4.191,5.815,-1.846,3.214,2.472,4.116,-0.909,1.702,-7.03,4.188,1.271,-0.524,-3.369,-0.846,-4.944,1
-0.148,0.047,4.788,3.092,-1.003,-4.839,0.774,-2.398,4.106,2.522,-0.7,0.429,1.627,-4.019,-1.312,0.333,2.808,-0.09,3.801,4.98,0
0.926,-2.698,-0.839,2.182,-8.197,0.867,-4.468,-0.968,-0.498,3.164,1.996,-1.077,-3.151,-3.998,2.831,2.178,-4.201,-0.662,-0.296,-12.019,1
1.815,-0.505,1.003,1.22,-3.916,-0.234,3.525,-3.269,-3.609,0.568,-4.503,0.791,-3.248,-1.518,-1.669,-2.217,1.847,5.265,-4.206,11.788,0
-1.442,-0.26,-0.714,-0.146,3.987,3.415,7.153,-1.25,2.655,-4.54,-0.412,2.325,0.809,-0.898,0.485,0.171,-1.024,0.207,-0.796,5.688,1
-0.419,2.478,5.716,1.114,8.895,-0.141,13.631,-0.874,2.578,-5.803,0.191,-2.253,0.716,4.817,-2.164,-2.47,-2.06,2.355,1.438,9.973,0
-0.198,2.029,-1.011,-3.888,12.479,-1.457,6.862,2.491,2.184,-1.048,-0.871,2.969,1.79,-0.218,-2.259,-0.693,-1.43,2.202,-3.297,6.713,0
0.783,-2.634,1.162,-0.991,-0.192,-4.528,6.636,1.494,3.572,-1.523,-2.375,-0.166,-1.039,-0.269,-3.453,-3.68,1.841,1.195,-1.135,14.531,0
2.848,-3.363,-4.337,2.347,-8.215,2.885,-8.314,-0.486,-4.909,-2.453,-1.531,1.836,-3.853,-0.532,-0.426,-2.054,5.511,0.523,-2.248,7.207,1
0.556,-2.533,4.334,2.348,3.838,-2.189,2.078,-1.187,2.881,0.084,0.933,1.443,1.617,-1.963,-2.082,3.008,4.81,-0.597,-1.355,10.922,0
-3.029,-0.794,2.368,1.85,2.468,3.004,-0.533,0.92,1.995,-2.48,-1.624,2.654,-1.099,1.835,-0.33,1.396,1.415,0.189,0.588,2.207,1
1.728,2.511,4.539,-0.458,-2.609,2.236,0.312,1.618,0.425,3.989,1.299,-2.93,-2.473,-0.326,6.06,2.593,-3.498,-1.367,-0.954,-15.091,1
2.4,-2.747,-0.948,2,-3.628,-4.427,-4.071,-2.104,-0.234,-0.103,1.595,1.848,-2.583,-3.954,-0.77,-1.542,3.072,1.371,-0.159,6.482,1
-1.332,-2.454,-5.033,0.534,-1.798,5.451,-6.645,-2.421,-2.567,-1.345,2.462,0.599,-0.174,3.171,2.201,4.77,-1.05,0.675,-0.703,-5.082,1
-4.29,-5.452,0.65,1.638,-9.299,12.425,-3.015,0.853,-0.932,-2.723,-3.46,-4.898,0.027,15.431,4.053,4.766,2.463,3.682,-2.484,5.398,1
-1.281,1.35,7.267,-0.754,-4.115,-1.67,11.655,-2.914,1.718,0.733,-0.991,-4.083,-0.941,0.285,1.088,-0.11,-2.519,-2.623,2.018,-2.696,0
-1.94,0.347,-3.538,5.261,-3.289,8.563,-8.36,0.184,-2.07,-1.928,-1.047,0.545,-1.928,-0.189,1.163,3.822,-1.468,0.716,-1.82,-7.849,1
-0.86,-1.407,1.949,1.162,-5.766,-0.063,0.5,-6.654,-2.038,2.251,-0.93,-0.636,1.213,-0.067,1.413,3.341,4.279,2.73,-2.274,7.988,0
2.579,-1.191,-0.643,-1.992,3.891,1.575,7.225,0.389,-0.075,-2.331,-2.439,1.569,0.337,0.892,-1.715,-2.129,1.333,1.37,-2.097,12.559,0
-0.395,-1.338,0.704,0.979,0.633,2.267,-5.543,4.586,-0.792,3.822,-1.655,2.348,4.848,-2.116,-0.192,-1.178,2.204,-0.934,-0.228,-2.313,0
-2.864,-2.713,2.487,-1.416,-6.014,-2.829,3.786,-3.296,0.218,-0.814,1.519,1.535,-1.336,-2.612,2.639,-1.772,0.913,-1.038,-0.452,0.79,1
-0.355,2.643,1.529,-0.839,5.531,-0.423,-5.44,4.681,3.465,0.293,0.763,-0.708,-0.4,4.477,0.735,2.624,1.874,-1.92,2.047,-4.811,1
-3.348,1.111,-0.384,1.853,1.515,-6.623,-10.373,-0.918,1.302,2.327,3.746,2.627,-2.562,-4.493,-0.355,3.336,0.307,0.507,-0.324,-8.575,1
-1.748,1.497,0.046,1.334,6.642,2.418,-10.61,2.773,-3.02,1.566,-0.639,2.252,0.573,4.926,-1.177,2.946,2.471,2.98,-1.088,-2.643,0
-1.261,-0.316,0.722,0.09,5.652,-3.192,0.074,-0.189,-0.959,-0.892,2.422,4.319,-0.379,-4.578,-1.902,-0.952,-0.269,-0.745,-1.178,-0.97,1
2.62,-2.471,-6.327,-0.343,-7.262,8.238,-6.94,-0.708,-4.073,-2.87,0.105,-0.956,-1.063,4.958,4.709,1.743,4.362,1.309,-3.9,4.38,1
3.955,-3.482,-3.174,1.085,-14.88,-5.907,4.246,-0.697,5.781,6.381,-2.27,-2.862,0.777,-14.814,0.424,-2.016,-1.349,-1.246,-3.657,4.211,0
2.758,1.931,1.294,0.319,2.611,-4.109,2.676,0.505,1.438,1.513,2.366,-1.002,3.77,-6.219,-0.217,-0.73,2.618,-2.149,-2.458,3.507,1
2.193,-1.406,0.27,-1.401,-3.247,-0.911,7.012,-2.31,5.245,-1.289,0.099,-0.557,1.709,-1.883,3.374,-1.099,2.565,-0.005,0.777,10.7,0
1.243,-0.765,1.289,1.672,-4.134,-0.158,-4.313,-2.195,-0.349,3.926,-0.145,0.982,-3.389,-3.354,2.232,3.567,-0.001,1.327,-1.402,-4.474,1
-1.231,3.069,0.858,-0.738,6.942,4.478,10.141,0.288,-2.841,-4.873,1.218,-2.154,3.262,1.772,-0.772,-0.342,-1.86,-1.483,-4.807,1.564,1
-1.726,1.558,-0.308,1.589,-2.611,-3.84,-3.173,-0.588,0.27,-0.68,1.288,-0.212,-1.203,-2.053,1.049,-2.551,0.782,2.92,-1.374,0.517,1
-1.644,0.433,1.19,1.587,6.366,-6.954,-4.253,-1.677,2.492,-0.326,4.078,3.213,-1.214,-3.919,-1.854,2.909,2.71,0.471,-1.061,2.352,0
-2.777,-0.768,2.87,2.926,-0.177,-3.475,-2.666,-2.477,-1.006,0.425,4,1.68,2.374,-5.385,-0.449,0.949,2.486,-2.371,-0.529,-2.404,0
-1.047,-0.661,-3.693,0.071,-2.173,2.06,0.196,-2.201,0.249,-3.286,0.494,0.273,1.459,1.262,1.594,-1.346,0.367,1.833,0.746,4.456,1
5.845,2.099,0.328,-2.513,11.853,1.335,2.817,1.097,-0.942,1.599,2.941,0.59,2.853,1.543,0.939,1.469,-1.92,0.515,0.673,-1.549,0
